Date,Abonnes_Milliers,Trafic_To
2017-03-31,16971,45000
2017-06-30,17935,52000
2017-09-30,21245,58000
2017-12-31,20829,65000
2018-03-31,19723,72000
2018-06-30,20025,85000
2018-09-30,22560,98000
2018-12-31,21288,105000
2019-03-31,21535,115000
2019-06-30,21971,130000
2019-09-30,24724,145000
2019-12-31,23677,155000
2020-03-31,24582,185000
2020-06-30,25284,235000
2020-09-30,26763,260000
2020-12-31,27743,280000
2021-03-31,28491,300000
2021-06-30,29179,320000
2021-09-30,31690,360000
2021-12-31,30621,385000
2022-03-31,30276,410000
2022-06-30,31145,435000
2022-09-30,34267,480000
2022-12-31,33204,510000
2023-03-31,33214,540000
2023-06-30,34145,575000
2023-09-30,37020,625000
2023-12-31,35685,660000
2024-03-31,35614,700000
2024-06-30,36462,745000
2024-09-30,39416,815000
2024-12-31,37442,860000
